55039,Kingfish B,-38.6,148.19,31.4,IDV60701:IDV60801
89512,Novolazarevskaja,-70.77,11.83,102,IDT60803
89532,Syowa,-69,39.58,21,IDT60803
89564,Mawson*,-67.6,62.88,9.9,IDT60803
89570,Whoop Whoop*,-68.47,78.87,577,IDT60803
89571,Davis*,-68.57,77.97,18,IDT60803
89592,Mirnyj,-66.55,93.02,35,IDT60803
89610,Cape Poinsett*,-65.84,113.07,90,IDT60803
89611,Casey*,-66.28,110.52,40,IDT60803
89615,Wilkins Runway*,-66.68,111.53,753,IDT60803
89642,Dumont D'urville,-66.66,140.01,43,IDT60803
89664,McMurdo,-77.85,166.67,24,IDT60803
89767,Amery*,-70.89,69.87,84,IDT60803
89811,Law Dome*,-66.73,112.83,1366,IDT60803
94100,Kalumburu,-14.3,126.65,23,IDD60801:IDW60701:IDW60801
94102,Troughton Island,-13.75,126.15,6,IDD60701:IDD60801:IDW60701:IDW60801
94103,Browse Island,-14.11,123.55,3.7,IDD60701:IDW60701:IDW60801
94105,Noonamah,-12.61,131.05,17.5,IDD60801:IDD60901
94106,Ngukurr AWS,-14.72,134.75,14.46,IDD60801
94108,Croker Island Airport,-11.16,132.48,9.2,IDD60701:IDD60801
94109,Murganella Airstrip,-11.55,132.93,9.5,IDD60801
94110,Oenpelli Airport,-12.33,133.01,7.5,IDD60801
94112,Mount Bundey South (Defence),-13.09,131.85,55,IDD60801
94116,Dum In Mirrie,-12.63,130.37,3.5,IDD60701:IDD60801:IDD60901
94117,Mango Farm,-13.74,130.68,15.2,IDD60801
94119,Pirlangimpi,-11.4,130.42,18.3,IDD60701:IDD60801:IDD60901
94120,Darwin Airport,-12.42,130.89,30.4,IDD60701:IDD60801:IDD60901
94121,Channel Point,-13.17,130.12,3,IDD60701:IDD60801:IDD60901
94122,Point Fawcett,-11.76,130.03,6.5,IDD60701:IDD60801:IDD60901
94125,Batchelor,-13.05,131.03,104,IDD60801:IDD60901
94127,Point Stuart,-12.24,131.88,1,IDD60701:IDD60801:IDD60901
94128,Douglas River,-13.83,131.19,42.8,IDD60801
94130,Bradshaw,-14.94,130.81,75,IDD60801
94131,Tindal,-14.52,132.38,133.6,IDD60801
94132,Katherine,-14.47,132.26,106,IDD60801
94134,Black Point,-11.15,132.14,5,IDD60701:IDD60801:IDD60901
94135,McCluer Island,-11.05,132.98,1.4,IDD60701:IDD60801
94137,Jabiru,-12.66,132.89,26.5,IDD60801
94139,Warruwi,-11.65,133.38,19.2,IDD60701:IDD60801
94140,Milingimbi,-12.09,134.89,15,IDD60701:IDD60801
94141,Central Arnhem Plateau,-13.33,133.09,416,IDD60801
94143,Bulman,-13.67,134.34,103.4,IDD60801
94147,Cape Wessel,-11,136.76,18,IDD60701:IDD60801
94150,Gove Airport,-12.27,136.82,51.6,IDD60701:IDD60801
94152,Borroloola,-16.08,136.3,16.1,IDD60801
94153,Groote Eylandt Airport,-13.97,136.46,13.7,IDD60701:IDD60801
94161,Kangaroo Flats (Defence),-12.79,130.85,50,IDD60801
94162,Mount Bundey North (Defence),-12.91,131.87,83,IDD60801
94170,Weipa,-12.68,141.92,17.96,IDQ60701:IDQ60801
94171,Scherger,-12.62,142.09,39.34,IDQ60801
94174,Horn Island,-10.58,142.29,4,IDQ60701:IDQ60801
94181,Thursday Island,-10.59,142.22,3,IDQ60701:IDQ60801
94182,Coconut Island,-10.05,143.07,3.5,IDQ60701:IDQ60801
94183,Coen Airport,-13.76,143.12,159.3,IDQ60801
94186,Lockhart River,-12.79,143.3,18.5,IDQ60701:IDQ60801
94188,Cape Flattery,-14.97,145.31,18.5,IDQ60701:IDQ60801
94200,Mandora,-19.74,120.84,7.5,IDW60701:IDW60801
94201,Cygnet Bay,-16.45,123.01,7,IDW60701:IDW60801
94202,Bidyadanga,-18.68,121.78,11,IDW60701:IDW60801
94203,Broome,-17.95,122.24,7.42,IDW60701:IDW60801
94204,Curtin,-17.58,123.83,77.5,IDW60801
94206,Fitzroy Crossing,-18.18,125.56,114.5,IDW60801
94207,Rowley Shoals,-17.52,118.95,0,IDW60701:IDW60801
94210,Adele Island,-15.51,123.16,4.6,IDW60701:IDW60801
94211,Mount Elizabeth,-16.42,126.1,546,IDW60801
94212,Halls Creek,-18.23,127.67,409.4,IDD60801:IDW60801
94213,Warmun,-17.02,128.22,203,IDW60801
94215,Doongan,-15.38,126.31,385,IDW60801
94216,Kununurra Airport,-15.78,128.71,44,IDD60801:IDW60801
94217,Argyle,-16.64,128.45,164,IDD60801:IDW60801
94220,Timber Creek,-15.66,130.48,20.08,IDD60801
94221,Bradshaw-Angallari Valley (Defence),-15.44,130.57,60,IDD60801
94222,Bradshaw-Koolendong Valley,-15.19,130.12,42,IDD60801
94225,Delamere,-15.74,131.92,221,IDD60801
94229,Wave Hill (Kalkarindji),-17.39,131.12,196,IDD60801
94231,Lajamanu,-18.33,130.64,315.6,IDD60801
94232,Victoria River Downs,-16.4,131.01,88.5,IDD60801
94234,Daly Waters,-16.26,133.38,209.84,IDD60801
94236,Elliott,-17.56,133.54,220,IDD60801
94238,Tennant Creek,-19.64,134.18,375.7,IDD60801
94239,McArthur River Mine,-16.44,136.08,40,IDD60801
94242,Brunette Downs,-18.64,135.94,218,IDD60801
94248,Centre Island,-15.74,136.82,12.2,IDD60701:IDD60801
94254,Mornington Island Airport,-16.66,139.17,9.52,IDQ60701:IDQ60801
94255,Camooweal,-19.92,138.12,231.2,IDD60801:IDQ60801
94257,Sweers Island,-17.11,139.6,4,IDQ60701:IDQ60801
94258,Wollogorang,-17.21,137.95,60,IDD60801
94260,Burketown Airport,-17.75,139.54,5.7,IDQ60801
94261,Century Mine,-18.76,138.71,126.8,IDQ60801
94266,Normanton,-17.69,141.07,18.42,IDQ60801
94268,Kowanyama,-15.48,141.75,9.6,IDQ60701:IDQ60801
94271,Townsville Air Weapons Range (Defence),-19.3,146.24,385.45,IDQ60801
94272,Mount Stuart (Defence),-19.41,146.76,176.36,IDQ60801
94273,Townsville - Fanning River (Defence),-19.78,146.5,325.83,IDQ60801
94274,Georgetown Airport,-18.3,143.53,301.77,IDQ60801
94276,Palmerville,-16,144.08,203.8,IDQ60801
94280,Innisfail Aero,-17.56,146.01,11.84,IDQ60701:IDQ60801
94284,Arlington Reef,-16.72,146.11,0,IDQ60701:IDQ60801
94285,Low Isles,-16.38,145.56,2.9,IDQ60701:IDQ60801
94287,Cairns,-16.87,145.75,2.22,IDQ60701:IDQ60801
94288,Cairns Racecourse,-16.95,145.75,4.1,IDQ60801
94289,Holmes Reef,-16.47,147.87,1.9,IDQ60701:IDQ60801
94290,Flinders Reef,-17.72,148.45,2.6,IDQ60701:IDQ60801
94291,Innisfail,-17.52,146.03,10,IDQ60801
94292,Cardwell,-18.25,146.02,5,IDQ60701:IDQ60801
94293,Lihou Reef Lighthouse,-17.13,152.15,10.26,IDQ60701:IDQ60801
94294,Townsville,-19.25,146.77,4.34,IDQ60701:IDQ60801
94295,Lucinda,-18.52,146.39,10,IDQ60701:IDQ60801
94297,Cape Ferguson,-19.28,147.06,0,IDQ60701:IDQ60801
94298,Marion Reef,-19.1,152.39,2,IDQ60701:IDQ60801
94299,Willis Island,-16.29,149.97,9.29,IDQ60701:IDQ60801
94300,Carnarvon,-24.89,113.67,4,IDW60701:IDW60801
94302,Learmonth,-22.24,114.1,5,IDW60701:IDW60801
94303,Thevenard Island,-21.46,115.02,5,IDW60701:IDW60801
94306,Mardie,-21.19,115.98,11,IDW60701:IDW60801
94307,Legendre Island,-20.36,116.84,29,IDW60701:IDW60801
94308,Roebourne Airport,-20.76,117.16,10.7,IDW60701:IDW60801
94310,Bedout Island,-19.59,119.1,8.6,IDW60701:IDW60801
94311,Pardoo,-20.11,119.58,9,IDW60701:IDW60801
94312,Port Hedland,-20.37,118.63,6.4,IDW60701:IDW60801
94316,Paraburdoo,-23.17,117.75,423.7,IDW60801
94317,Newman Airport,-23.42,119.8,524,IDW60801
94319,Telfer,-21.71,122.23,291.9,IDW60801
94321,Walungurru (Kintore),-23.27,129.38,454.3,IDD60801
94323,Watarrka,-24.29,131.55,614,IDD60801
94324,Yuendumu,-22.26,131.8,667,IDD60801
94326,Alice Springs Airport,-23.8,133.89,546,IDD60801
94327,Jervois,-22.95,136.14,328,IDD60801
94328,Territory Grape Farm,-22.45,133.64,565.6,IDD60801
94330,Karijini North,-22.3,118.45,474,IDW60801
94332,Mount Isa,-20.68,139.49,340.3,IDQ60801
94333,Boulia,-22.91,139.9,161.8,IDQ60801
94334,Bedourie,-24.36,139.47,91.4,IDQ60801
94335,Cloncurry,-20.67,140.5,186,IDQ60801
94336,The Monument,-21.81,139.93,288.4,IDQ60801
94337,Julia Creek,-20.67,141.72,122.5,IDQ60801
94338,Trepell,-21.84,140.89,266.2,IDQ60801
94341,Richmond,-20.7,143.12,206.3,IDQ60801
94342,Winton,-22.36,143.08,192.2,IDQ60801
94343,Hughenden,-20.82,144.23,316.4,IDQ60801
94344,Urandangi,-21.6,138.37,178.6,IDQ60801
94345,Isisford,-24.26,144.44,203,IDQ60801
94346,Longreach,-23.44,144.28,192.2,IDQ60801
94347,Carters Bore,-20.94,139.3,396,IDQ60801
94348,Lake Julius,-20.12,139.73,237,IDQ60801
94349,New May Downs,-20.59,139.34,392,IDQ60801
94350,Barcaldine,-23.55,145.29,266.9,IDQ60801
